Date,Username,Comment
1/10/2026,Manzeen12,"Orang orang yang kaya itu yang ngeselin, bpjs lu gratis anjir pbi/pbu tapi gelang emasnya berderet dan minta diprioritas semuanya padahal baru datang"
1/11/2026,pipitcuit82,"@BPJSKesehatanRI dear BPJS, bagaimana proses/prosedur dr perseorangan PBI ke Mandiri? Apakah HARUS datang? Atau bisa online? Tks"
1/11/2026,BPJSKesehatanRI,"@pipitcuit82 Salam. Jika terdaftar PBPU dan BP PEMDA / PBI JK dan status masih aktif, silakan ke Kantor Cabang BPJS Kesehatan untuk peralihan ke PBPU/Mandiri dengan membawa persyaratan yaitu KK, KTP, buku rekening tabungan (BCA, BNI, BRI, BTN, BSI, dan Mandiri) (1/2)"
1/11/2026,pipitcuit82,"@BPJSKesehatanRI 1 KK kebetulan ayah ibu sudah mandiri (tk 1). Tapi adik masih di PBI. Apa tetap harus mengajukan sendiri hanya utk anggota keluarga tsb? Dulu adek kerja, jd BPJS berganti sbg karyawan aktif. Begitu resign, status BPJS tiba2 berubah ke PBI"
1/11/2026,BPJSKesehatanRI,"@pipitcuit82 Salam. Jika terdaftar PBPU dan BP PEMDA / PBI JK dan status masih aktif, silakan ke Kantor Cabang BPJS Kesehatan untuk peralihan ke PBPU/Mandiri dengan membawa persyaratan yang telah diinformasikan sebelumnya ya. Tks. :) -ayas"
1/11/2026,justformeforfun,"@tanyakanrl Halo kak. Jangan overthinking dulu ya kak. Coba check bpjs kakak dulu, pbi atau bukan. Kalo iya, bisa digunakan bpjs tsb.  Kalo belum, bisa daftar dulu kak pake yg kelas 3☺️ Semoga lekas sembuh🫶🏻"
1/11/2026,tribunpontianak,Aturan Baru BPJS Kesehatan 2026 Lengkap Syarat dan Cara Beralih Status Peserta Mandiri ke PBI. https://t.co/KOqP19ulk8 lewat @tribunnews
1/11/2026,realacc0unt,"@tanyakanrl Nder kalo kamu termasuk keluarga kurang mampu, ajukan keanggotaan BPJS PBI ke balai desa nder, urus itu gratis kok, nanti kamu bisa pakai bpjsnya buat berobat, yuk diusahakan dulu ngajuin Bojs pbi"
1/11/2026,nadya_devista,"@tanyakanrl Ada bpjs pbi ini gratis&amp;dari pemerintah, bisa utk tanya ke balai desa. Coba untuk tanya2 ke bidan desa ka kalo di tempatku sekitar 50-100k&amp;kayaknya di puskesmas jg segitu. Kalo ada gejala sakit please jangan tanya di base ya ka karena takutnya self diagnosis🙏"
1/12/2026,heytitasha,"@tanyakanrl Nder bikin bpjs aja. Kalo sekiranya keuangan kel kurang ngajuin pbi kis ke kelurahan. Aku waktu sma juga mensnya gtu, gak sampe setahun 2x sih tapi sakitnya masyaallah bgt. Pas di cek ternyata endometriosis 😔"
1/12/2026,Biglady95624236,"@tanyakanrl Halo sender. Coba kamu perbaiki gaya hidup kamu. Stop makanan yang mengandung tepung, gula, minyak. Istirahat cukup, kelola stres. Untuk BPJS coba ortu suruh bikin BPJS PBI di kantor kelurahan/desa. Sehat selalu sender sekeluarga"
1/13/2026,Widyawa64704930,@_Queen_Putri @hasbunallaah67 BPJS PBI ?
1/15/2026,mareestoermers,@tanyakanrl Ga ada perbedaan penanganan.. BPJS PBI itu bukannya bpjs penerima bantuan iuran bukan?
1/15/2026,BPJSKesehatanRI,"@aaprianto43 Salam. Penentu keaktifan Peserta PBPU dan BP PEMDA berdasarkan dengan perjanjian kerja sama antara Pemerintah Daerah dengan BPJS Kesehatan, sedangkan Peserta PBI JK sesuai dengan DTKS yang telah ditentukan oleh Pemerintah Pusat sesuai SK Kementerian Sosial. Terima Kasih. :) -joy"
1/15/2026,rahayusri1080,"@BPJSKesehatanRI Hallo min keluarga saya baru saja mendapatkan kartu BPJS katanya PBI tapi setelah dicek data tersebut tidak ditemukan, katanya harus nunggu 15 hari untuk bisa aktif tolong penjelasanya"
